Results Summary

Response,Count
6,7
15 or more,3
10,3
4,3
12,2
8,2
7,2
5,2
11,1
9,1
Total,26


Individual Results

Response,Created At
4,2020-02-10 13:35:29
4,2020-02-10 13:35:13
4,2020-02-10 13:35:12
5,2020-02-10 13:35:27
5,2020-02-10 13:35:27
6,2020-02-10 13:35:33
6,2020-02-10 13:35:26
6,2020-02-10 13:35:24
6,2020-02-10 13:35:23
6,2020-02-10 13:35:20
6,2020-02-10 13:35:16
6,2020-02-10 13:35:15
7,2020-02-10 13:37:32
7,2020-02-10 13:35:49
8,2020-02-10 13:35:30
8,2020-02-10 13:35:23
9,2020-02-10 13:35:35
10,2020-02-10 13:35:42
10,2020-02-10 13:35:22
10,2020-02-10 13:35:19
11,2020-02-10 13:38:30
12,2020-02-10 13:35:33
12,2020-02-10 13:35:14
15 or more,2020-02-10 13:35:35
15 or more,2020-02-10 13:35:26
15 or more,2020-02-10 13:35:22
