Results Summary

Response,Count
just right,18
a little too fast,6
much too fast,2
a little too slow,2
Total,28


Individual Results

Response,Created At
a little too slow,2020-02-10 14:48:55
a little too slow,2020-02-10 14:48:54
just right,2020-02-10 14:49:05
just right,2020-02-10 14:49:01
just right,2020-02-10 14:48:57
just right,2020-02-10 14:48:52
just right,2020-02-10 14:48:51
just right,2020-02-10 14:48:49
just right,2020-02-10 14:48:49
just right,2020-02-10 14:48:49
just right,2020-02-10 14:48:48
just right,2020-02-10 14:48:48
just right,2020-02-10 14:48:47
just right,2020-02-10 14:48:47
just right,2020-02-10 14:48:47
just right,2020-02-10 14:48:46
just right,2020-02-10 14:48:45
just right,2020-02-10 14:48:43
just right,2020-02-10 14:48:41
just right,2020-02-10 14:48:41
a little too fast,2020-02-10 14:49:05
a little too fast,2020-02-10 14:48:59
a little too fast,2020-02-10 14:48:51
a little too fast,2020-02-10 14:48:51
a little too fast,2020-02-10 14:48:46
a little too fast,2020-02-10 14:48:43
much too fast,2020-02-10 14:48:49
much too fast,2020-02-10 14:48:42
