Results Summary

Response,Count
10 or more,6
7,3
5,3
6,2
9,1
4,1
3,1
Total,17


Individual Results

Response,Created At
3,2019-02-06 10:31:49
4,2019-02-06 10:31:51
5,2019-02-06 10:32:23
5,2019-02-06 10:32:10
5,2019-02-06 10:32:02
6,2019-02-06 10:32:08
6,2019-02-06 10:31:41
7,2019-02-06 10:32:18
7,2019-02-06 10:32:02
7,2019-02-06 10:31:54
9,2019-02-06 10:32:15
10 or more,2019-02-06 10:32:26
10 or more,2019-02-06 10:32:17
10 or more,2019-02-06 10:32:10
10 or more,2019-02-06 10:31:59
10 or more,2019-02-06 10:31:49
10 or more,2019-02-06 10:31:46
