Results Summary

Response,Count
just right,16
a little too fast,3
a little too slow,3
Total,22


Individual Results

Response,Created At
a little too slow,2019-02-20 11:50:44
a little too slow,2019-02-20 11:50:41
a little too slow,2019-02-20 11:50:32
just right,2019-02-20 11:50:55
just right,2019-02-20 11:50:53
just right,2019-02-20 11:50:38
just right,2019-02-20 11:50:37
just right,2019-02-20 11:50:37
just right,2019-02-20 11:50:36
just right,2019-02-20 11:50:36
just right,2019-02-20 11:50:33
just right,2019-02-20 11:50:29
just right,2019-02-20 11:50:27
just right,2019-02-20 11:50:26
just right,2019-02-20 11:50:25
just right,2019-02-20 11:50:24
just right,2019-02-20 11:50:23
just right,2019-02-20 11:50:22
just right,2019-02-20 11:50:22
a little too fast,2019-02-20 11:50:42
a little too fast,2019-02-20 11:50:29
a little too fast,2019-02-20 11:50:26
