Results Summary

Response,Count
15 or more,11
12,4
8,3
11,2
13,1
10,1
9,1
5,1
Total,24


Individual Results

Response,Created At
5,2019-02-15 10:41:28
8,2019-02-15 10:41:36
8,2019-02-15 10:41:26
8,2019-02-15 10:41:14
9,2019-02-15 10:41:48
10,2019-02-15 10:41:44
11,2019-02-15 10:41:38
11,2019-02-15 10:41:33
12,2019-02-15 11:10:10
12,2019-02-15 11:08:21
12,2019-02-15 10:41:31
12,2019-02-15 10:41:30
13,2019-02-15 10:41:32
15 or more,2019-02-15 10:57:04
15 or more,2019-02-15 10:42:05
15 or more,2019-02-15 10:42:00
15 or more,2019-02-15 10:41:56
15 or more,2019-02-15 10:41:47
15 or more,2019-02-15 10:41:35
15 or more,2019-02-15 10:41:28
15 or more,2019-02-15 10:41:27
15 or more,2019-02-15 10:41:22
15 or more,2019-02-15 10:41:22
15 or more,2019-02-15 10:41:18
