Results Summary

Response,Count
just right,6
a little too fast,4
a little too slow,2
Total,12


Individual Results

Response,Created At
a little too slow,2020-03-11 14:56:36
a little too slow,2020-03-11 14:56:07
just right,2020-03-11 14:56:49
just right,2020-03-11 14:56:22
just right,2020-03-11 14:56:16
just right,2020-03-11 14:56:16
just right,2020-03-11 14:56:08
just right,2020-03-11 14:56:08
a little too fast,2020-03-11 14:56:28
a little too fast,2020-03-11 14:56:25
a little too fast,2020-03-11 14:56:23
a little too fast,2020-03-11 14:56:20
